title,year,synopsis,critic_score,people_score,consensus,total_reviews,total_ratings,rating,genre,language,director,producer,writer,theater_release,streaming_release,gross_usa,runtime,production_co,crew,link
Shirkers,2018,"In 1992 teenager Sandi Tan shoots Singapore's first road movie with her enigmatic American mentor, Georges, who then absconded with all of the footage. The 16 mm film is recovered 20 years later, sending Tan, who is now a novelist living in Los Angeles, on a personal odyssey in search of Georges' footprints.",100,78,"Shirkers uses one woman's interrogation of a pivotal personal disappointment to offer affecting observations on creativity, lost opportunity, and coming to terms with the past.",69,250+,unknown,documentary,English,Sandi Tan,"Jessica Levin, Maya Rudolph, Sandi Tan",unknown,2018-10-26,2018-10-26,,96,unknown,"Sandi Tan, Jessica Levin, Sandi Tan, Iris Ng, Kimberley Hassett, Sandi Tan",http://www.rottentomatoes.com/m/shirkers
Anvil! The Story of Anvil,2008,"Canadian heavy-metal band Anvil delivered a highly influential 1982 album that would inspire the likes of Anthrax and Metallica, and then dropped off the map to begin what would become decades of toiling in obscurity. Director and former roadie Sacha Gervasi follows guitarist Steve ""Lips"" Kudlow and drummer Robb Reiner as they stumble through a harrowing European tour and reflect on failure, friendship, resilience and the will to follow even the most impossible of dreams.",98,91,"A touching, uplifting and inspirational rockumentary about an aging metal band, both hilarious and heart-warming in equal measure.",140,"5,000+",unknown,documentary,English,Sacha Gervasi,Rebecca Yeldham,unknown,2009-04-10,2017-04-26,666700,85,Sacha Gervasi,"Steve ""Lips"" Kudlow, Robb Reiner, Slash, Lars Ulrich, Lemmy Kilmister, Sacha Gervasi, Rebecca Yeldham",http://www.rottentomatoes.com/m/anvil_the_story_of_anvil
Inside Job,2010,The global financial meltdown that took place in Fall 2008 caused millions of job and home losses and plunged the United States into a deep economic recession. Matt Damon narrates a documentary that provides a detailed examination of the elements that led to the collapse and identifies keys financial and political players. Director Charles Ferguson conducts a wide range of interviews and traces the story from the United States to China to Iceland to several other global financial hot spots.,98,91,"Disheartening but essential viewing, Charles Ferguson's documentary explores the 2008 Global Financial Crisis with exemplary rigor.",148,"25,000+",PG-13,documentary,English,Charles Ferguson,"Charles Ferguson, Audrey Marrs",Charles Ferguson,2010-10-08,2012-04-16,4300000,108,Sony Pictures Classics,"Matt Damon, Gylfi Zoega, Andri Snær Magnason, Sigridur Benediktsdottir, Paul Volcker, Dominique Strauss-Kahn, George Soros, Barney Frank, Charles Ferguson, Charles Ferguson, Charles Ferguson, Audrey Marrs, Jeffrey Lurie, Christina Weiss Lurie",http://www.rottentomatoes.com/m/inside_job_2010
All In: The Fight for Democracy,2020,Filmmakers Liz Garbus and Lisa Cortes examine the history of voter suppression and the activists who fight for the rights of U.S. citizens.,100,72,All In: The Fight for Democracy lives up to its title as a galvanizing rallying cry for voters to exercise -- and preserve -- their right to be heard.,65,50+,PG-13,documentary,English,"Lisa Cortes, Liz Garbus","Stacey Abrams, Dan Cogan, Lisa Cortes, Liz Garbus",Jack Youngelson,2020-09-09,2020-09-18,,102,Story Syndicate,"Stacey Abrams, Lisa Cortes, Liz Garbus, Jack Youngelson, Stacey Abrams, Dan Cogan, Lisa Cortes, Liz Garbus, Gil Talmi",http://www.rottentomatoes.com/m/all_in_the_fight_for_democracy
The Square,2013,Egyptian revolutionaries battle their leaders and regime to build a new society.,100,90,The Square offers an electrifying -- and edifying -- ground-level glimpse of life inside a real-life political revolution.,69,"5,000+",unknown,documentary,Arabic,Jehane Noujaim,Karim Amer,unknown,2013-10-25,2017-03-10,,104,"Noujaim Films, Roast Beef Productions, Worldview Entertainment","Ahmed Hassan, Khalid Abdalla, Magdy Ashour, Ramy Essam, Aida El-Kashef, Ragia Omran, Jehane Noujaim, Karim Amer, Daniel E. Catullo, Gavin Dougan, Geralyn White Dreyfous, Maxyne Franklin, Muhammad Hamdy, Mohammed El Manasterly",http://www.rottentomatoes.com/m/the_square_2013
Seymour: An Introduction,2014,"Pianist Seymour Bernstein, who gave up performing for teaching, discusses his passion for music and his philosophy of life.",100,78,Seymour Bernstein's genuineness shines so brightly in Seymour: An Introduction that viewers will forgive debuting director Ethan Hawke's reverent treatment.,68,"5,000+",PG,documentary,English,Ethan Hawke,"Greg Loser, Heather Smith, Ryan Hawke",unknown,2015-03-13,2016-12-05,580000,81,"Under the Influence Productions, Room 5 Films","Ethan Hawke, Greg Loser, Ryan Hawke, Anna Gustavi",http://www.rottentomatoes.com/m/seymour_an_introduction
The Missing Picture,2013,Filmmaker Rithy Panh re-creates atrocities of Cambodia's Khmer Rouge between 1975 and 1979.,99,76,"Thrillingly unorthodox and emotionally searing without being didactic, The Missing Picture is a uniquely poignant documentary -- and so much more.",88,"5,000+",unknown,documentary,French,Rithy Panh,Catherine Dussart,Rithy Panh,2014-03-19,2016-03-22,51600,90,unknown,"Randal Douc, Rithy Panh, Rithy Panh, Catherine Dussart, Marc Marder, Rithy Panh, Marie-Christine Rougerie",http://www.rottentomatoes.com/m/the_missing_picture
Mucho Mucho Amor: The Legend of Walter Mercado,2020,"Puerto Rican astrologer and psychic Walter Mercado discusses his life, career and post-fame seclusion.",100,93,"An absorbing and affectionate tribute to a unique individual, Mucho Mucho Amor should prove fascinating for Walter Mercado fans as well as first-timers.",60,100+,unknown,documentary,English,"Cristina Constantini, Kareem Tabsch","Cristina Costantini, Alex Fumero, Kareem Tabsch",unknown,,2020-07-08,,96,"Muck Media, Topic Studios, Key Rat","Cristina Constantini, Kareem Tabsch, Alex Fumero, Lisa Leingang, Mona Panchal, Jeff Plunkett, Kareem Tabsch, Peter Alton",http://www.rottentomatoes.com/m/mucho_mucho_amor
Deliver Us From Evil,2006,"Filmmaker Amy Berg documents the case of convicted pedophile Oliver Grady who, as a priest in northern California, molested the children of his parishioners, apparently with the knowledge of his superiors in the diocese. Berg tracks down O'Grady in Ireland, where he lives free under church protection, and allows him to give his own account of his crimes.",100,89,"Deliver Us From Evil is a superb documentary and a searing look at an institution protecting its leaders at the expense of its followers. A profoundly disturbing chronicle of a wolf in sheep's clothing, the film builds a clear-eyed case against pedophile priest Oliver O'Grady, and the Catholic bureaucracy that protected him. The recollections of O'Grady's victims are nothing short of shocking and heartbreaking.",72,"10,000+",unknown,"crime, drama, documentary",English,Amy Berg,"Amy Berg, Hermas Lassalle, Frank Donner",Amy Berg,2006-10-13,2016-10-06,196600,103,Disarming Films,"Nancy Sloan, Roger Mahony, John Manly, Amy Berg, Amy Berg, Ray Baldwin, Tom Ortenberg, Amy Berg, Hermas Lassalle, Frank Donner, Matthew Cooke, Jacob Kusk, Jens Schlosser",http://www.rottentomatoes.com/m/deliver_us_from_evil
Paris Is Burning,1990,"This documentary focuses on drag queens living in New York City and their ""house"" culture, which provides a sense of community and support for the flamboyant and often socially shunned performers. Groups from each house compete in elaborate balls that take cues from the world of fashion. Also touching on issues of racism and poverty, the film features interviews with a number of renowned drag queens, including Willi Ninja, Pepper LaBeija and Dorian Corey.",98,89,"Paris Is Burning dives into '80s transgender subculture, with the understated camera allowing this world to flourish and the people to speak (and dance) for themselves.",55,"2,500+",R,"gay and lesbian, documentary",English,Jennie Livingston,"Jennie Livingston, Barry Swimar",unknown,,2017-05-05,122800,78,"Miramax Films, Prestige Productions","André Christian, Freddie Pendavis, Willi Ninja, Pepper LaBeija, Junior Labeija, Shari Headley, Paris Duprée, Dorian Corey, Jennie Livingston, Jennie Livingston, Barry Swimar, Jonathan Oppenheim",http://www.rottentomatoes.com/m/paris_is_burning
Athlete A,2020,Reporters from The Indianapolis Star expose Dr. Larry Nassar's sexual abuse of young gymnasts.,100,93,"Harrowing yet essential viewing, Athlete A shines an unforgiving light on horrific abuses -- as well as the culture that allowed them to continue unabated for years.",56,100+,PG-13,documentary,English,"Bonni Cohen, Jon Shenk","Serin Marshall, Jen Sey, Julie Parker Benello",unknown,,2020-06-25,,103,Netflix,"Jen Sey, Bonni Cohen, Jon Shenk, Richard Berge, Dan Cogan, Serin Marshall, Jen Sey, Julie Parker Benello, Jeff Beal",http://www.rottentomatoes.com/m/athlete_a
One Child Nation,2019,"After becoming a mother, a filmmaker uncovers the untold history of China's one-child policy and the generations of parents and children forever shaped by this social experiment.",98,85,"As illuminating as it is accessible, One Child Nation probes a painful chapter in Chinese history with piercing clarity.",100,100+,R,documentary,English,"Nanfu Wang, Jialing Zhang","Christopher Clements, Julie Goldman, Carolyn Hepburn, Christoph Jörg",unknown,2019-08-09,2019-11-08,151700,85,"ITVS, Pumpernickel Films, Next Generation, Motto Pictures","Nanfu Wang, Jialing Zhang, Christopher Clements, Julie Goldman, Carolyn Hepburn, Christoph Jörg, Lois Vossen, Yuanchen Liu, Nanfu Wang",http://www.rottentomatoes.com/m/one_child_nation
Bright Lights: Starring Carrie Fisher and Debbie Reynolds,2016,"A portrait of Hollywood royalty Carrie Fisher and her mother, Debbie Reynolds.",100,86,"Bright Lights: Starring Carrie Fisher and Debbie Reynolds is a touching, bittersweet, and ultimately charming love story that serves as a poignantly effective tribute to the strangely complicated, uniquely resilient mother/daughter duo.",57,500+,unknown,documentary,English,"Alexis Bloom, Fisher Stevens","Alexis Bloom, Todd Fisher, Julie Nives",unknown,,2017-02-03,,95,HBO Documentary Films,"Carrie Fisher, Debbie Reynolds, Alexis Bloom, Fisher Stevens, Alexis Bloom, Todd Fisher, Sheila Nevins, Brett Ratner, Vasco Nunes, Penelope Falk",http://www.rottentomatoes.com/m/bright_lights_starring_carrie_fisher_and_debbie_reynolds
Hoop Dreams,1994,"Every school day, African-American teenagers William Gates and Arthur Agee travel 90 minutes each way from inner-city Chicago to St. Joseph High School in Westchester, Illinois, a predominately white suburban school well-known for the excellence of its basketball program. Gates and Agee dream of NBA stardom, and with the support of their close-knit families, they battle the social and physical obstacles that stand in their way. This acclaimed documentary was shot over the course of five years.",98,93,"One of the most critically acclaimed documentaries of all time, Hoop Dreams is a rich, complex, heartbreaking, and ultimately deeply rewarding film that uses high school hoops as a jumping-off point to explore issues of race, class, and education in modern America.",60,"10,000+",PG-13,"drama, documentary",English,Steve James,"Peter Gilbert, Steve James, Frederick Marx","Steve James, Frederick Marx",1994-10-14,2016-09-30,7800000,174,"KTCA Minneapolis, Kartemquin Films","Sheila Agee, Isiah Thomas, Bill Gleason, Frederick Marx, Gordon Quinn, Catherine Allan, Peter Gilbert, Frederick Marx, Ben Sidran, Peter Gilbert",http://www.rottentomatoes.com/m/hoop_dreams
Citizenfour,2014,"After Laura Poitras received encrypted emails from someone with information on the government's massive covert-surveillance programs, she and reporter Glenn Greenwald flew to Hong Kong to meet the sender, who turned out to be Edward Snowden.",96,87,"Part real-life thriller, part sobering examination of 21st century civil liberties, Citizenfour transcends ideology to offer riveting, must-see cinema.",146,"10,000+",R,documentary,English,Laura Poitras,"Laura Poitras, Mathilde Bonnefoy, Dirk Wilutzky",unknown,2014-10-24,2016-08-25,2800000,114,"HBO Documentary Films, Participant Media","Edward Snowden, Julian Assange, Ewen MacAskill, Jeremy Scahill, Kevin Bankston, Laura Poitras, Laura Poitras, Mathilde Bonnefoy, Dirk Wilutzky, Steven Soderbergh, Jeff Skoll, Diane Weyermann, David Menschel, Tom Quinn, Sheila Nevins",http://www.rottentomatoes.com/m/citizenfour
On the Record,2020,Filmmakers Kirby Dick and Amy Ziering examine the sexual assault allegations against hip-hop mogul Russell Simmons.,99,81,On the Record uses harrowing first-person accounts to powerfully and persuasively confront the entrenched sexism of an industry and its culture.,71,50+,unknown,documentary,English,"Kirby Dick, Amy Ziering","Jamie Rogers, Kirby Dick","Kirby Dick, Sara Newens, Amy Ziering",,2020-05-27,,95,"Shark Island Productions, Jane Doe Films, Artemis Rising Productions, Impact Partners, Chain Camera Pictures, Level Forward","Sil Lai Abrams, Tarana Burke, Kimberlé Crenshaw, Jenny Lumet, Kirby Dick, Amy Ziering, Kirby Dick, Sara Newens, Amy Ziering, Dan Cogan, Abigail Disney, Jamie Rogers, Kirby Dick",http://www.rottentomatoes.com/m/on_the_record
The Interrupters,2011,Members of the activist group CeaseFire work to curb violence in their Chicago neighborhoods by intervening in street fights and showing youths a better way to resolve conflicts.,99,82,"Impeccably crafted and edited, The Interrupters is a tough and honest documentary about street violence that truly has the power to inspire change.",93,"5,000+",unknown,"crime, drama, documentary",English,Steve James,"Steve James, Alex Kotlowitz",Alex Kotlowitz,2011-07-29,2016-03-01,250500,125,"Kartemquin Films, Rise Films","Tio Hardiman, Gary Slutkin, Kenneth Oliver, Spencer Leak, Fernando Bocanegra, Alex Kotlowitz, Teddy Leifer, Justine Nagan, Gordon Quinn, Alex Kotlowitz, Aaron Wickenden",http://www.rottentomatoes.com/m/the_interrupters_2011
Slay the Dragon,2019,Activists work to rid gerrymandering from America's election process.,100,72,Slay the Dragon takes a suitably outraged -- but ultimately optimistic -- look at modern-day gerrymandering that doubles as a heartfelt call to action.,49,Fewer than 50,PG-13,documentary,English,"Chris Durrance, Barak Goodman",Barak Goodman,unknown,,2020-04-03,,101,unknown,"Chris Durrance, Barak Goodman, Barak Goodman, Jeff Skoll, Diane Weyermann, Seth Bomse",http://www.rottentomatoes.com/m/slay_the_dragon
